machineName,prefix,additionalInfo
204729-3-H,,Computer: 204729-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204729-3-H\C$\Install\extract v2.5.zip'
204729-4-H,,Computer: 204729-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204729-4-H\C$\Install\extract v2.5.zip'
204726-4-H,,Not enough Free space on drive C: 3 GB
204726-3-H,,physical display count did not match data from C-nario
204726-3-H,,Error occurred while getting display configurations: display count did not match
204726-3-H,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
204723-3-H,,Computer: 204723-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204723-3-H\C$\Install\extract v2.5.zip'
204728-1-T,,Computer: 204728-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204728-1-T\C$\Install\extract v2.5.zip'
204723-4-H,,Computer: 204723-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204723-4-H\C$\Install\extract v2.5.zip'
204728-3-T,,Computer: 204728-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204728-3-T\C$\Install\extract v2.5.zip'
204721-12-H,,Computer: 204721-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204721-12-H\C$\Install\extract v2.5.zip'
204724-4-H,PV,successful
204721-3-H,LPH_LR,successful
204721-4-H,PV,successful
204720-3-T,LR_LPH,successful
204722-3-T,,Computer: 204722-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204722-3-T\C$\Install\extract v2.5.zip'
204722-4-T,,Computer: 204722-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204722-4-T\C$\Install\extract v2.5.zip'
204720-4-T,PV,successful
204716-3-H,,Computer: 204716-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204716-3-H\C$\Install\extract v2.5.zip'
204716-4-H,,Computer: 204716-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204716-4-H\C$\Install\extract v2.5.zip'
204715-3-H,,Computer: 204715-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204715-3-H\C$\Install\extract v2.5.zip'
204715-4-H,,Computer: 204715-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204715-4-H\C$\Install\extract v2.5.zip'
204713-3-H,LPH_LR,successful
204724-3-H,LR_LPH,successful
204714-3-T,,Computer: 204714-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204714-3-T\C$\Install\extract v2.5.zip'
204714-4-T,,Computer: 204714-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204714-4-T\C$\Install\extract v2.5.zip'
204712-3-T,LPH_LR,successful
204712-4-T,PV,successful
204713-4-H,,Computer: 204713-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204713-4-H\C$\Install\extract v2.5.zip'
204711-4-T,,Computer: 204711-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204711-4-T\C$\Install\extract v2.5.zip'
204710-3-T,,physical display count did not match data from C-nario
204710-3-T,,Error occurred while getting display configurations: display count did not match
204710-3-T,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
204710-10-T,LH_PMP,successful
204711-3-H,,Computer: 204711-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204711-3-H\C$\Install\extract v2.5.zip'
204711-3-T,,Computer: 204711-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204711-3-T\C$\Install\extract v2.5.zip'
204707-4-H,PV,successful
204711-4-H,,Computer: 204711-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204711-4-H\C$\Install\extract v2.5.zip'
204707-3-H,LPH_LR,successful
204704-12-H,PV_LR,successful
204709-4-H,PV,successful
204709-3-H,,Computer: 204709-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204709-3-H\C$\Install\extract v2.5.zip'
204704-1-H,,Computer: 204704-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204704-1-H\C$\Install\extract v2.5.zip'
204698-3-H,LPH_LR,successful
204699-3-T,,Computer: 204699-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204699-3-T\C$\Install\extract v2.5.zip'
204697-12-H,,Computer: 204697-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204697-12-H\C$\Install\extract v2.5.zip'
204696-12-T,,Computer: 204696-12-T failed to download or is disconnected. Error: The network path was not found. : '\\204696-12-T\C$\Install\extract v2.5.zip'
204699-4-T,,Computer: 204699-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204699-4-T\C$\Install\extract v2.5.zip'
204696-12-H,PV_LR,successful
204698-4-H,PV,successful
204695-12-H,PV_LR,successful
204694-17-T,,physical display count did not match data from C-nario
204694-17-T,,Error occurred while getting display configurations: display count did not match
204694-17-T,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
204697-12-T,,Computer: 204697-12-T failed to download or is disconnected. Error: The network path was not found. : '\\204697-12-T\C$\Install\extract v2.5.zip'
204692-1-H,,Computer: 204692-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204692-1-H\C$\Install\extract v2.5.zip'
204694-4-T,LH_PV,successful
204693-12-H,PV_LR,successful
204692-4-H,,Computer: 204692-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204692-4-H\C$\Install\extract v2.5.zip'
204696-1-T,,Computer: 204696-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204696-1-T\C$\Install\extract v2.5.zip'
204690-17-H,,Computer: 204690-17-H failed to download or is disconnected. Error: The network path was not found. : '\\204690-17-H\C$\Install\extract v2.5.zip'
204692-3-T,,Computer: 204692-3-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204692-3-T\C$\Install\extract v2.5.zip'
204690-1-T,,Not enough Free space on drive C: 12 GB
204690-4-H,,Computer: 204690-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204690-4-H\C$\Install\extract v2.5.zip'
204692-4-T,LH_PV,successful
204690-17-T,LPH_LR,successful
204690-4-T,PV,successful
204685-17-T,,physical display count did not match data from C-nario
204685-17-T,,Error occurred while getting display configurations: display count did not match
204685-17-T,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
204687-3-T,LPH_LR,successful
204685-1-T,,Computer: 204685-1-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204685-1-T\C$\Install\extract v2.5.zip'
204690-1-H,,Computer: 204690-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204690-1-H\C$\Install\extract v2.5.zip'
204687-4-T,PV_LH,successful
204683-3-T,,Computer: 204683-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204683-3-T\C$\Install\extract v2.5.zip'
204683-4-H,,Computer: 204683-4-H failed to download or is disconnected. Error: The trust relationship between this workstation and the primary domain failed. : '\\204683-4-H\C$\Install\extract v2.5.zip'
204685-4-T,PV,successful
204682-3-T,,physical display count did not match data from C-nario
204682-3-T,,Error occurred while getting display configurations: display count did not match
204683-3-H,LPH_LR,successful
204682-3-T,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
204682-1-T,LH_PP,successful
204680-3-H,,Computer: 204680-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204680-3-H\C$\Install\extract v2.5.zip'
204682-4-T,,Not enough Free space on drive C: 1 GB
204680-4-H,,Computer: 204680-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204680-4-H\C$\Install\extract v2.5.zip'
204680-4-T,PV,successful
204679-3-H,LPH_LR,successful
204680-3-T,LPH_LR,successful
204679-4-H,PV_LH,successful
204678-12-T,PV_LR,successful
204673-12-H,PV_LR,successful
204676-12-H,,Computer: 204676-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204676-12-H\C$\Install\extract v2.5.zip'
204674-1-T,,Computer: 204674-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204674-1-T\C$\Install\extract v2.5.zip'
204674-2-T,,Computer: 204674-2-T failed to download or is disconnected. Error: The network path was not found. : '\\204674-2-T\C$\Install\extract v2.5.zip'
204670-3-H,LPH_LR,successful
204670-4-H,,nonLoadableDeviceName was not changed
204670-4-H,,Error occurred while processing subkey 637770606419763699: nonloadable was not changed
204668-3-T,,Computer: 204668-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204668-3-T\C$\Install\extract v2.5.zip'
204668-4-T,,Computer: 204668-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204668-4-T\C$\Install\extract v2.5.zip'
204673-1-H,,Computer: 204673-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204673-1-H\C$\Install\extract v2.5.zip'
204668-3-H,,Computer: 204668-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204668-3-H\C$\Install\extract v2.5.zip'
204668-4-H,,Computer: 204668-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204668-4-H\C$\Install\extract v2.5.zip'
204666-3-H,,Computer: 204666-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204666-3-H\C$\Install\extract v2.5.zip'
204666-3-T,,Computer: 204666-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204666-3-T\C$\Install\extract v2.5.zip'
204666-4-H,,Computer: 204666-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204666-4-H\C$\Install\extract v2.5.zip'
204661-4-H,PV,successful
204660-3-H,LR_LPH,successful
204666-4-T,,Computer: 204666-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204666-4-T\C$\Install\extract v2.5.zip'
204659-10-H,LH_PMP,successful
204659-1-H,,Computer: 204659-1-H failed to download or is disconnected. Error: The target account name is incorrect. : '\\204659-1-H\C$\Install\extract v2.5.zip'
204661-17-H,,Computer: 204661-17-H failed to download or is disconnected. Error: The network path was not found. : '\\204661-17-H\C$\Install\extract v2.5.zip'
204660-4-H,PV_LH,successful
204659-3-H,LPH_LR,successful
204661-1-H,,Computer: 204661-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204661-1-H\C$\Install\extract v2.5.zip'
204651-12-T,LR_PV,successful
204650-12-T,LR,successful
204650-1-T,LH,successful
204655-12-H,,Computer: 204655-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204655-12-H\C$\Install\extract v2.5.zip'
204649-17-H,LR_LPH,successful
204653-1-H,,Computer: 204653-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204653-1-H\C$\Install\extract v2.5.zip'
204651-1-T,,Computer: 204651-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204651-1-T\C$\Install\extract v2.5.zip'
204649-4-H,LH,successful
204645-12-H,LH_LR,successful
204649-1-T,,Computer: 204649-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204649-1-T\C$\Install\extract v2.5.zip'
204647-12-H,,Computer: 204647-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204647-12-H\C$\Install\extract v2.5.zip'
204644-12-H,PV_LR,successful
204647-1-H,,Computer: 204647-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204647-1-H\C$\Install\extract v2.5.zip'
204642-3-H,LR_LPH,successful
204642-4-H,PV,successful
204640-12-H,PV_LR,successful
204639-3-H,LPH_LR,successful
204639-4-H,PV,successful
204643-12-T,,Computer: 204643-12-T failed to download or is disconnected. Error: The network path was not found. : '\\204643-12-T\C$\Install\extract v2.5.zip'
204636-1-T,,Computer: 204636-1-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204636-1-T\C$\Install\extract v2.5.zip'
204635-1-T,,Computer: 204635-1-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204635-1-T\C$\Install\extract v2.5.zip'
204636-12-T,LR_PV,successful
204635-12-T,,Error occurred while compiling prefix: You cannot call a method on a null-valued expression.
204635-12-T,,prefix is empty
204637-12-H,,Computer: 204637-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204637-12-H\C$\Install\extract v2.5.zip'
204629-1-T,,Computer: 204629-1-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204629-1-T\C$\Install\extract v2.5.zip'
204629-10-T,LH_PMP,successful
204637-1-H,,Computer: 204637-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204637-1-H\C$\Install\extract v2.5.zip'
204626-1-H,LH,successful
204626-3-H,LR_LPH,successful
204631-12-H,,Computer: 204631-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204631-12-H\C$\Install\extract v2.5.zip'
204627-1-H,LL4P,successful
204626-4-H,,Not enough Free space on drive C: 7 GB
204623-12-H,PV_LR,successful
204625-12-H,,Computer: 204625-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204625-12-H\C$\Install\extract v2.5.zip'
204624-4-H,PV,successful
204625-1-T,,Computer: 204625-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204625-1-T\C$\Install\extract v2.5.zip'
204622-1-H,,Computer: 204622-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204622-1-H\C$\Install\extract v2.5.zip'
204621-3-H,LPH_LR,successful
204619-12-H,PV_LR,successful
204619-12-T,,Computer: 204619-12-T failed to download or is disconnected. Error: The network path was not found. : '\\204619-12-T\C$\Install\extract v2.5.zip'
204623-1-H,,Computer: 204623-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204623-1-H\C$\Install\extract v2.5.zip'
204621-10-H,,Computer: 204621-10-H failed to download or is disconnected. Error: The network path was not found. : '\\204621-10-H\C$\Install\extract v2.5.zip'
204617-1-T,,Not enough Free space on drive C: 5 GB
204617-2-T,PMP,successful
204610-17-H,LR_LPH,successful
204610-4-H,PV,successful
204619-1-H,,Computer: 204619-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204619-1-H\C$\Install\extract v2.5.zip'
204610-1-H,,Computer: 204610-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204610-1-H\C$\Install\extract v2.5.zip'
204608-4-H,LH_PV,successful
204608-3-H,,Computer: 204608-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204608-3-H\C$\Install\extract v2.5.zip'
204604-1-H,,Computer: 204604-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204604-1-H\C$\Install\extract v2.5.zip'
204605-12-H,PV_LR,successful
204606-12-H,,Computer: 204606-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204606-12-H\C$\Install\extract v2.5.zip'
204629-3-T,LPH_LR,successful
204604-3-H,LPH_LR,successful
204604-4-H,PV,successful
204599-12-T,LR_PV,successful
204606-1-H,,Computer: 204606-1-H failed to download or is disconnected. Error: The network path was not found. : '\\204606-1-H\C$\Install\extract v2.5.zip'
204600-12-H,,Computer: 204600-12-H failed to download or is disconnected. Error: The network path was not found. : '\\204600-12-H\C$\Install\extract v2.5.zip'
200006-3-H,,Computer: 200006-3-H failed to download or is disconnected. Error: The network path was not found. : '\\200006-3-H\C$\Install\extract v2.5.zip'
200006-10-H,,Computer: 200006-10-H failed to download or is disconnected. Error: The network path was not found. : '\\200006-10-H\C$\Install\extract v2.5.zip'
200006-12-H,,Computer: 200006-12-H failed to download or is disconnected. Error: The network path was not found. : '\\200006-12-H\C$\Install\extract v2.5.zip'
200003-1-H,,Computer: 200003-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200003-1-H\C$\Install\extract v2.5.zip'
200006-1-H,,Computer: 200006-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200006-1-H\C$\Install\extract v2.5.zip'
200007-1-H,,Computer: 200007-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200007-1-H\C$\Install\extract v2.5.zip'
200011-1-H,,Computer: 200011-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200011-1-H\C$\Install\extract v2.5.zip'
200016-3-H,LPH_LR,successful
200016-4-H,PV_LH,successful
200013-1-H,,Computer: 200013-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200013-1-H\C$\Install\extract v2.5.zip'
200018-10-H,PMP_LH,successful
200015-2-H,LL4P,successful
200018-3-H,LPH_LR,successful
200019-10-H,PMP_LH,successful
200018-1-H,,Computer: 200018-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200018-1-H\C$\Install\extract v2.5.zip'
200020-3-H,,Computer: 200020-3-H failed to download or is disconnected. Error: The network path was not found. : '\\200020-3-H\C$\Install\extract v2.5.zip'
200020-5-H,,Computer: 200020-5-H failed to download or is disconnected. Error: The network path was not found. : '\\200020-5-H\C$\Install\extract v2.5.zip'
200022-3-H,,Computer: 200022-3-H failed to download or is disconnected. Error: The network path was not found. : '\\200022-3-H\C$\Install\extract v2.5.zip'
200019-3-H,LPH_LR,successful
200022-4-H,,Computer: 200022-4-H failed to download or is disconnected. Error: The network path was not found. : '\\200022-4-H\C$\Install\extract v2.5.zip'
200022-3-T,LPH_LR,successful
200022-4-T,PV,successful
200023-3-H,,physical display count did not match data from C-nario
200023-3-H,,Error occurred while getting display configurations: display count did not match
200023-3-H,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
200021-12-H,LH_LR,successful
200030-1-H,,Not enough Free space on drive C: 16 GB
200023-10-H,PV,successful
200025-4-H,PV,successful
200030-3-H,,physical display count did not match data from C-nario
200030-3-H,,Error occurred while getting display configurations: display count did not match
200030-3-H,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
200025-3-H,LR_LPH,successful
200036-10-H,LH_PMP,successful
200039-1-H,LL4P,successful
200036-3-H,,physical display count did not match data from C-nario
200036-3-H,,Error occurred while getting display configurations: display count did not match
200036-3-H,,"Error occurred while processing prefix: Error occurred while getting display configurations: display count did not match
Stack Trace: at <ScriptBlock>, C:\Install\m4dextractor\extractscript.ps1: line 242"
200032-1-H,,Computer: 200032-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200032-1-H\C$\Install\extract v2.5.zip'
200041-1-H,,Computer: 200041-1-H failed to download or is disconnected. Error: The network path was not found. : '\\200041-1-H\C$\Install\extract v2.5.zip'
200042-1-H,,Not enough Free space on drive C: 15 GB
200043-10-H,PMP_LH,successful
200044-1-H,LL4P,successful
200043-3-H,LPH_LR,successful
200042-12-H,,Computer: 200042-12-H failed to download or is disconnected. Error: The network path was not found. : '\\200042-12-H\C$\Install\extract v2.5.zip'
200045-3-H,LR_LPH,successful
200045-4-H,PV_LH,successful
200048-3-H,LPH_LR,successful
200046-3-H,LR,successful
200046-10-H,,Computer: 200046-10-H failed to download or is disconnected. Error: The network path was not found. : '\\200046-10-H\C$\Install\extract v2.5.zip'
